['..\\..\\..\\git\\vrep-control-loop\\vrep-control-loop\\res\\equivalencesegmentationtest\\segmentationprogression\\sampleWholeRoute.pyplot', '..\\..\\..\\git\\vrep-control-loop\\vrep-control-loop\\res\\equivalencesegmentationtest\\segmentationprogression\\sampleWholeRouteSegmentation.pyplot']
True
theta1: 0.553303, theta2: 0.446466, dir: right, idx: 546
theta1: 0.53444, theta2: 0.454426, dir: right, idx: 547
theta1: 0.515591, theta2: 0.462377, dir: right, idx: 548
theta1: 0.496764, theta2: 0.470315, dir: right, idx: 549
theta1: -2.664599, theta2: -2.66068, dir: left, idx: 550
theta1: -2.666935, theta2: -2.655131, dir: left, idx: 551
theta1: -2.669272, theta2: -2.649582, dir: left, idx: 552
theta1: -2.67161, theta2: -2.644032, dir: left, idx: 553
theta1: -2.673947, theta2: -2.638482, dir: left, idx: 554
theta1: -2.674478, theta2: -2.634738, dir: left, idx: 555
theta1: -2.676487, theta2: -2.629516, dir: left, idx: 556
theta1: -2.678495, theta2: -2.624294, dir: left, idx: 557
theta1: -2.678141, theta2: -2.621435, dir: left, idx: 558
theta1: -2.677607, theta2: -2.618755, dir: left, idx: 559
theta1: -2.679099, theta2: -2.614049, dir: left, idx: 560
theta1: -2.678216, theta2: -2.611719, dir: left, idx: 561
theta1: -2.677242, theta2: -2.609479, dir: left, idx: 562
theta1: -2.676194, theta2: -2.607313, dir: left, idx: 563
theta1: -2.674046, theta2: -2.606248, dir: left, idx: 564
theta1: -2.671807, theta2: -2.605273, dir: left, idx: 565
theta1: -2.669478, theta2: -2.604389, dir: left, idx: 566
theta1: -2.664772, theta2: -2.605881, dir: left, idx: 567
theta1: -2.662094, theta2: -2.605346, dir: left, idx: 568
theta1: -2.659236, theta2: -2.60499, dir: left, idx: 569
theta1: -2.654014, theta2: -2.606998, dir: left, idx: 570
theta1: -2.648793, theta2: -2.609007, dir: left, idx: 571
theta1: -2.645051, theta2: -2.609536, dir: left, idx: 572
theta1: -2.6395, theta2: -2.611873, dir: left, idx: 573
theta1: -2.63395, theta2: -2.61421, dir: left, idx: 574
theta1: -2.628401, theta2: -2.616547, dir: left, idx: 575
theta1: -2.622852, theta2: -2.618884, dir: left, idx: 576
theta1: -2.621564, theta2: -2.616487, dir: left, idx: 585
theta1: -2.630302, theta2: -2.595749, dir: left, idx: 586
theta1: -2.639063, theta2: -2.574978, dir: left, idx: 587
theta1: -2.64784, theta2: -2.55418, dir: left, idx: 588
theta1: -2.656628, theta2: -2.533363, dir: left, idx: 589
theta1: -2.659037, theta2: -2.518917, dir: left, idx: 590
theta1: -2.666594, theta2: -2.499315, dir: left, idx: 591
theta1: -2.674146, theta2: -2.479712, dir: left, idx: 592
theta1: -2.67316, theta2: -2.468641, dir: left, idx: 593
theta1: -2.679655, theta2: -2.450085, dir: left, idx: 594
theta1: -2.677046, theta2: -2.440628, dir: left, idx: 595
theta1: -2.673979, theta2: -2.431627, dir: left, idx: 596
theta1: -2.670539, theta2: -2.422997, dir: left, idx: 597
theta1: -2.666793, theta2: -2.414671, dir: left, idx: 598
theta1: -2.662792, theta2: -2.406601, dir: left, idx: 599
theta1: -2.656961, theta2: -2.400361, dir: left, idx: 600
theta1: -2.640081, theta2: -2.405171, dir: left, idx: 601
