class, amount
5n5ke060002, 1
5n5ke080003, 1
5n5n5060002, 1
5n5n5n040003, 1
5n5n5n050003, 2
5n5n5n070003, 2
5n5n8040003, 1
5n5n8080003, 1
5n5nee050002, 1
5n5nee050003, 1
5n5nee060002, 2
5n5nee060003, 1
5n5nh050002, 1
5n5q5030002, 1
5n5q5050002, 1
5n5q8040003, 1
5n5qe020002, 1
5n5qe030002, 1
5n5qe040002, 2
5n5qe070002, 1
5n5qh000002, 1
5n5qh020002, 2
5n5qh030003, 1
5n5qh040002, 1
5n5qh050002, 1
5n8ee020002, 1
5n8ee040002, 1
5n8eh030002, 1
5n8ejb050002, 1
5n8eka020002, 1
5n8epg030002, 1
5n8eph030002, 1
5n8eph060002, 1
5n8eq070002, 1
5n8eq080003, 1
5n8hn060002, 1
5n8nh010002, 1
5n8nh030002, 1
5n8nh050002, 1
5n8nh060002, 1
5n8nh070003, 1
5n8qeg050002, 1
5nb2050002, 1
5nb5e040003, 1
5nb5j030002, 1
5nb5k020002, 1
5nb5k040002, 1
5nb5n050002, 1
5nbb5040002, 1
5nbbb050002, 1
5nbbb060002, 1
5nbbe070002, 1
5nbe2020002, 2
5nbe2040002, 1
5nbe2050002, 1
5nbeb020002, 1
5nbeb030002, 4
5nbeb040002, 3
5nbeb050003, 1
5nbeb060002, 1
5nbeb070002, 1
5nbee010002, 1
5nbee020002, 3
5nbee020003, 1
5nbee030002, 1
5nbee040002, 5
5nbee050002, 2
5nbee060002, 2
5nbee060003, 3
5nbee070002, 1
5nbee070003, 1
5nbee080002, 1
5nbee080003, 1
5ne2a050002, 1
5ne2e070003, 1
5ne2n040002, 1
5ne5b060003, 1
5ne5b070003, 1
5ne5e050003, 1
5ne5ee140006, 1
5ne5n020002, 1
5ne5n050002, 1
5ne5n5020002, 1
5ne8e060002, 1
5ne8ej010002, 1
5ne8h060002, 1
5ne8k050003, 1
5ne8n020002, 2
5ne8n060002, 1
5neb5050002, 1
5nebb010002, 1
5nebe010002, 3
5nebe020002, 2
5nebe030002, 2
5nebe030003, 1
5nebe040002, 2
5nebe040003, 2
5nebe050003, 2
5nebe060002, 1
5nebe060003, 5
5nebe070002, 1
5nebe070003, 2
5nebe080003, 1
5nebe5040002, 1
5nebee020002, 1
5nebee030002, 2
5nebee040002, 3
5nebee040003, 1
5nebee060002, 2
5nebee060003, 1
5nebee090003, 1
5nebee100003, 1
5nee2050003, 1
5nee5e100006, 1
5neeb040003, 1
5neeb060003, 2
5neebe020002, 3
5neebe030002, 5
5neebe040003, 1
5neebe050002, 2
5neebe050003, 1
5neebe060003, 4
5neebe070003, 3
5neebe080003, 1
5neebe090003, 2
5neee070003, 1
5neee5040002, 1
5neee5070003, 1
5neee5080003, 1
5neeeb030002, 2
5neeeb040002, 3
5neeeb040003, 2
5neeeb060003, 2
5neeeb080003, 1
5neeee020002, 1
5neeee030002, 3
5neeee030003, 4
5neeee040002, 3
5neeee040003, 1
5neeee050002, 2
5neeee050003, 2
5neeee060002, 2
5neeee070003, 2
5neeee080003, 2
5neeeh020002, 1
5neeeh030002, 1
5neeeh040002, 1
5neeeh040003, 1
5neeeh050002, 1
5neeeh050003, 1
5neeeh060002, 1
5neeh070003, 1
5neeh5020003, 1
5neehe030002, 1
5neehe030003, 2
5neehe040002, 2
5neehe040003, 2
5neehe050002, 1
5neehe050003, 3
5neehe060003, 1
5neehe070002, 1
5neehe070003, 1
5neehe080003, 2
5neh5030003, 1
5neh5e020002, 1
5neh5n010002, 1
5neh5n050002, 1
5nehe000002, 1
5nehe010002, 1
5nehe020002, 2
5nehe030002, 4
5nehe030003, 2
5nehe040002, 2
5nehe040003, 3
5nehe050002, 2
5nehe050003, 2
5nehe070003, 3
5nehe090003, 1
5nehe5030002, 1
5nehe5030003, 1
5nehe5070003, 1
5nehee010002, 1
5nehee020003, 1
5nehee040002, 1
5nehee040003, 1
5nehee060003, 1
5nehee070002, 1
5nehee070003, 2
5nehee080003, 1
5nehh070003, 1
5nh5e050002, 1
5nh5e060002, 1
5nh5ee020002, 1
5nh8e040002, 1
5nhe5020002, 1
5nhe5040003, 1
5nhe5060003, 1
5nhe5070002, 1
5nhe8020002, 1
5nhe8030002, 1
5nhee000002, 1
5nhee010002, 1
5nhee020002, 4
5nhee020003, 1
5nhee030002, 5
5nhee030003, 1
5nhee040002, 3
5nhee050002, 1
5nhee060002, 2
5nhee070002, 1
5nhee070003, 2
5nheh010002, 1
5nheh020002, 5
5nheh030002, 3
5nheh040002, 4
5nheh050002, 2
5nheh060002, 1
5nheh5020002, 1
5nhhe020002, 1
5nhhe030002, 1
5nhhh050002, 2
5nhhh060002, 2
5p7gl040002, 1
5p7gl050002, 1
5q5hk010002, 1
5q5hn030003, 1
5q8ep030002, 1
5q8ep040003, 1
5q8ep060003, 1
5q8o030002, 1
5q8o040003, 1
5qe5gq060002, 1
5qe7pg050002, 1
5qe8n020002, 1
5qe8n030002, 2
5qegg070003, 1
5qegh050002, 1
5qehe020002, 1
5qehe040002, 1
5qehe050002, 1
